 # Adrien Atallah
 # Project 5
 # Contains time vs. location for planet 1 and planet 2 plus the energy of the system
 # t, x1, y1, x2, y2, Energy
   14000000.      3.79836928E+08   81312160.      8.56776786E+10  1.39999920E+11  6.92493576E+26
   14050000.      3.65479040E+08  1.29935680E+08  8.56265196E+10  1.39999904E+11  6.92490477E+26
   14100000.      3.44893344E+08  1.76344432E+08  8.55753605E+10  1.39999887E+11  6.92485386E+26
   14150000.      3.18406688E+08  2.19735376E+08  8.55242015E+10  1.39999871E+11  6.92480442E+26
   14200000.      2.86451456E+08  2.59351760E+08  8.54730424E+10  1.39999855E+11  6.92475499E+26
   14250000.      2.49559360E+08  2.94497664E+08  8.54218834E+10  1.39999838E+11  6.92468415E+26
   14300000.      2.08352912E+08  3.24551680E+08  8.53707244E+10  1.39999822E+11  6.92458601E+26
   14350000.      1.63534944E+08  3.48979360E+08  8.53195653E+10  1.39999805E+11  6.92450116E+26
   14400000.      1.15876224E+08  3.67344256E+08  8.52684063E+10  1.39999789E+11  6.92447681E+26
   14450000.       66201356.      3.79316992E+08  8.52172472E+10  1.39999773E+11  6.92443180E+26
   14500000.       15373432.      3.84682304E+08  8.51660882E+10  1.39999756E+11  6.92434694E+26
   14550000.      -35722384.      3.83343552E+08  8.51149292E+10  1.39999740E+11  6.92425323E+26
   14600000.      -86195776.      3.75324832E+08  8.50637701E+10  1.39999724E+11  6.92417871E+26
   14650000.     -1.35168368E+08  3.60770496E+08  8.50126111E+10  1.39999707E+11  6.92405327E+26
   14700000.     -1.81790480E+08  3.39941984E+08  8.49614520E+10  1.39999691E+11  6.92398317E+26
   14750000.     -2.25257168E+08  3.13212288E+08  8.49102930E+10  1.39999674E+11  6.92392857E+26
   14800000.     -2.64823152E+08  2.81058144E+08  8.48591340E+10  1.39999658E+11  6.92386438E+26
   14850000.     -2.99816224E+08  2.44050080E+08  8.48079749E+10  1.39999642E+11  6.92379502E+26
   14900000.     -3.29648928E+08  2.02840832E+08  8.47568159E+10  1.39999625E+11  6.92371902E+26
   14950000.     -3.53828224E+08  1.58152272E+08  8.47056568E+10  1.39999609E+11  6.92368655E+26
   15000000.     -3.71963168E+08  1.10761392E+08  8.46544978E+10  1.39999592E+11  6.92358104E+26
   15050000.     -3.83770240E+08   61485600.      8.46033388E+10  1.39999576E+11  6.92350208E+26
   15100000.     -3.89076640E+08   11167677.      8.45521797E+10  1.39999560E+11  6.92338698E+26
   15150000.     -3.87821344E+08  -39339212.      8.45010207E+10  1.39999543E+11  6.92331762E+26
   15200000.     -3.80054272E+08  -89186192.      8.44498616E+10  1.39999527E+11  6.92320620E+26
   15250000.     -3.65933408E+08 -1.37542768E+08  8.43987026E+10  1.39999511E+11  6.92311987E+26
   15300000.     -3.45720512E+08 -1.83610160E+08  8.43475436E+10  1.39999494E+11  6.92307855E+26
   15350000.     -3.19775040E+08 -2.26633616E+08  8.42963845E+10  1.39999478E+11  6.92304165E+26
   15400000.     -2.88546912E+08 -2.65913728E+08  8.42452255E+10  1.39999461E+11  6.92298262E+26
   15450000.     -2.52568240E+08 -3.00816512E+08  8.41940664E+10  1.39999445E+11  6.92289408E+26
   15500000.     -2.12443888E+08 -3.30782272E+08  8.41429074E+10  1.39999429E+11  6.92285423E+26
   15550000.     -1.68841472E+08 -3.55333152E+08  8.40917484E+10  1.39999412E+11  6.92282103E+26
